NodeName	Age	LowerBound	UpperBound
Sorex_aErinace	64.77156154	58.294405385999994	71.24871769399999
SorexErinaCondy	66.77089090999999	60.09380181899999	73.44798000099999
AcinonyFelis_c	13.0	11.700000000000001	14.3
PanthAcinoFelis	15.17499417	13.657494753	16.692493587
MustelaEnhydra	17.5	15.75	19.25
Ursus_mAilurop	23.36263333	21.026369997000003	25.698896663000003
OdNeLeMuEnUrAi	39.89341266	35.904071394000006	43.88275392600001
CaOdNeLeMuEnUrAi	45.52834966	40.975514694000005	50.08118462600001
CaOdNeLeMuEnUrAiPaAcFe	54.32144117	48.889297053	59.75358528700001
Equus_cCeratot	54.40072903	48.960656127	59.84080193300001
ECVCSOPOCBPLTODBMCONLMEUAPAF	77.22659399	69.503934591	84.949253389
VicugnaCamelus	20.56159	18.505430999999998	22.617749
TursiopOrcinus	11.14236857	10.028131713	12.256605427000002
TursiOrcinDelph	18.39127378	16.552146401999998	20.230401158
LipoTursOrciDelp	25.418956469999998	22.877060822999997	27.960852116999998
PhyLipTurOrcDelBal	33.5	30.150000000000002	36.85
Ovis_arCapra_h	9.75	8.775	10.725000000000001
PantOvisCaprBos_	24.6	22.14	27.060000000000002
OdoPanOviCapBos	27.307281	24.5765529	30.038009100000004
OdPaOvCaBoPhLiTuOrDeBa	55.95985309999999	50.36386778999999	61.55583840999999
SuOdPaOvCaBoPhLiTuOrDeBa	61.965988519999996	55.769389667999995	68.162587372
VCSOPOCBPLTODB	64.18402406999999	57.765621663	70.602426477
ECVCSOPOCBPLTODBMCONLMEUAPAF	77.7549564	69.97946076	85.53045204
RhinoloHipposi	46.1	41.49	50.71000000000001
RousettPteropu	27.38079692	24.642717228000002	30.118876612000005
RousPterRhinHipp	58.07847476	52.270627284	63.886322236000005
Myotis_Eptesic	31.322325	28.1900925	34.4545575
MinioMyotiEptes	44.83572929	40.352156361000006	49.31930221900001
RoPtRhHiMiMyEp	61.661207860000005	55.495087074000004	67.82732864600001
RPRHMMEECVCSOPOCBPLTODBMCONLMEUAPAF	78.52874206999999	70.675867863	86.38161627699999
SECRPRHMMEECVCSOPOCBPLTODBMCONLMEUAPAF	89.32381838999999	80.39143655099998	98.25620022899999
OryctolOchoton	51.428351	46.2855159	56.571186100000006
OctodonChinchi	32.85536467	29.569828203	36.140901137
OctodChincCavia	35.7789995	32.20109955	39.35689945
HetFukOctChiCav	43.35847292	39.022625628	47.694320212
Rattus_Mus_mus	20.8874174	18.79867566	22.976159140000004
RattuMus_mMerio	28.57552087	25.717968783	31.433072957
MicroMesocCrice	22.82601462	20.543413158	25.108616082
PeroMicrMesoCric	28.799999999999997	25.919999999999998	31.68
RaMuMePeMiMeCr	32.66362726	29.397264533999998	35.929989986
JaNaRaMuMePeMiMeCr	54.80239208	49.322152872	60.282631288000005
DipodomCastor_	63.254405	56.9289645	69.5798455
JaNaRaMuMePeMiMeCrDiCa	69.89837666	62.908538994	76.888214326
MarmotaIctidom	8.625255	7.7627295	9.4877805
MIHFOCCJNRMMPMMCDC	70.54492789	63.490435100999996	77.599420679
MIHFOCCJNRMMPMMCDC	72.87670815	65.589037335	80.16437896500001
OOMIHFOCCJNRMMPMMCDC	82.14079887999999	73.92671899199999	90.35487876799999
PropithMicroce	37.78263867	34.004374803	41.560902537
OtolePropiMicro	59.32436912	53.391932208	65.256806032
CallithAotus_n	18.38385647	16.545470823000002	20.222242117000004
SaimiriCebus_c	16.07046167	14.463415503	17.677507837
SaimCebuCallAotu	19.681056520000002	17.712950868000004	21.649162172000004
MandrilCercoce	4.59037182	4.131334638	5.049409002
MacaPapiMandCerc	12.399999999999999	11.159999999999998	13.639999999999999
ChlMacPapManCer	13.74957083	12.374613747	15.124527913000001
RhPiCoChMaPaMaCe	19.422304779999997	17.480074302	21.364535258
Pan_troHomo_sa	6.650905	5.9858145	7.3159955000000005
Pan_tHomo_Goril	9.06309552	8.156785968	9.969405072
PongPan_HomoGori	15.762165539999998	14.185948985999998	17.338382094
NomPonPanHomGor	20.18921354	18.170292186	22.208134894000004
NPPHGRPCCMPMC	29.44154681	26.497392128999998	32.385701491
NPPHGRPCCMPMCSCCA	43.15129634	38.836166706	47.466425974
OPMCNPPHGRPCCMPMCSCCA	73.83689434	66.453204906	81.220583774
GOPMCNPPHGRPCCMPMCSCCATOOMIHFOCCJNRMMPMMCDC	82.10220708	73.891986372	90.31242778800001
GOPMCNPPHGRPCCMPMCSCCATOOMIHFOCCJNRMMPMMCDC	89.82318740999997	80.84086866899997	98.80550615099997
SECRPRHMMEECVCSOPOCBPLTODBMCONLMEUAPAFGOPMCNPPHGRPCCMPMCSCCATOOMIHFOCCJNRMMPMMCDC	96.46238915999999	86.81615024399999	106.10862807599999
DasypusCholoep	66.01169357	59.41052421300001	72.61286292700001
TrichProcaLoxod	65.48442308	58.935980772	72.032865388
TrichProcaLoxod	66.31683529	59.685151761	72.948518819
ElephEchinChrys	74.533175	67.0798575	81.98649250000001
OrycElepEchiChry	76.78646667	69.107820003	84.465113337
TrPrLoOrElEcCh	83.28894285	74.960048565	91.617837135
TrPrLoOrElEcChDaCh	100.50636333	90.455726997	110.55699966300001
