TaxonName	Maximum_longevity_(yrs)	Adult_weight_(g)	Female_maturity_(days)
Trichechus_manatus_latirostris	3.9982007016691985	12.901716706288706	7.079184394609668
Procavia_capensis	2.6946271807700692	8.1886891244442	6.214608098422191
Loxodonta_africana	4.174387269895637	15.38412647587812	8.29853954537488
Orycteropus_afer_afer	3.3945083935113587	11.002099841204238	6.593044534142437
Elephantulus_edwardii	2.0959708436310462	3.921180943212912	5.260096153727839
Echinops_telfairi	2.9444389791664403	5.19295685089021	5.8998973535824915
Dasypus_novemcinctus	2.972975286431375	8.156940426129621	5.766757273817589
Choloepus_hoffmanni	3.6609942506244004	8.740336742730447	6.9122451842549895
Sorex_araneus	1.1314021114911006	2.0107920178357426	5.591453289682281
Erinaceus_europaeus	2.186051276738094	6.599189995613932	5.4510384535657
Condylura_cristata	0.9162907318741551	4.012772908528289	5.717027701406222
Rousettus_aegyptiacus	2.919570912588427	4.719242642247939	5.551019720103791
Pteropus_vampyrus	3.0734053118722087	6.335788530987684	6.177252311878423
Rhinolophus_sinicus	3.190476350346503	2.4308683632842953	6.544271493114074
Hipposideros_armiger	2.5649493574615367	1.9459101490553132	6.333279628139691
Miniopterus_natalensis	3.091042453358316	2.5649493574615367	6.3578422665081
Myotis_lucifugus	3.078189645994232	2.359280436670591	5.91470348597452
Eptesicus_fuscus	2.995732273553991	2.894068619777491	6.304448802421981
Equus_caballus	3.64470362749525	12.527119375555788	6.902072495846639
Ceratotherium_simum_simum	3.8066624897703196	14.592539222504922	7.404279118037268
Vicugna_pacos	3.3568971227655755	10.933106969717286	6.364750756851911
Camelus_bactrianus	3.462606009790799	13.02695319259967	7.078763075875818
Sus_scrofa	2.920469789053444	11.279573737063496	6.077642243349034
Odocoileus_virginianus_texanus	3.1135153092103742	11.184421397998193	5.975081067857458
Ovis_aries	2.9932291433358724	11.470474540296662	6.372466183037772
Capra_hircus	3.030823593365261	11.116636873546774	6.555356891810665
Bos_taurus	3.214867803470662	13.525692873382072	6.4792773965649
Physeter_catodon	4.343805421853684	17.16541464523888	7.980023592310645
Lipotes_vexillifer	3.1780538303479458	11.332601910838946	7.979338895262328
Tursiops_truncatus	3.9435216724875173	12.206072645530174	7.9483852851118995
Orcinus_orca	4.499809670330265	15.198675026075238	8.237479288613633
Delphinapterus_leucas	3.6888794541139363	14.17318500223609	7.404887575616125
Balaenoptera_acutorostrata_scammoni	4.430816798843313	17.72553156072175	7.93908751416697
Manis_javanica	NaN	8.946680768919787	NaN
Canis_familiaris	2.9583764870102223	9.828898695545055	5.978885764901122
Odobenus_rosmarus_divergens	NaN	13.82793307796283	7.4645098346365275
Leptonychotes_weddellii	NaN	12.959844447906553	7.21890970761906
Mustela_putorius	2.2669579153508947	6.363631369814631	5.490117667296535
Enhydra_lutris_kenyoni	3.295836866004329	10.160065879936575	6.881411303642535
Ursus_maritimus	3.6699514442284173	12.439661454705922	7.2115567333138015
Ailuropoda_melanoleuca	3.6054978451748854	11.67419361256635	7.692569648067906
Panthera_pardus	3.3013770463799443	11.584315461056901	6.915227293820838
Acinonyx_jubatus	3.0204248861443626	10.887436932884098	6.1224928095143865
Felis_catus	2.9479416097176423	8.440132145279776	5.815125061991575
Otolemur_garnettii	3.0610517396746335	7.087782539222719	6.305362461690656
Propithecus_coquereli	3.1780538303479458	8.454963114880103	7.128228601740468
Microcebus_murinus	2.9014215940827497	4.096841442420688	5.493061443340548
Carlito_syrichta	2.772588722239781	4.7808027546312495	NaN
Nomascus_leucogenys	3.8088822465086327	8.768146443369714	8.03268487596762
Pongo_abelii	4.07753744390572	11.074032830749546	7.845807502637805
Pan_troglodytes	4.046553898385752	10.656182304513672	8.09712193091871
Homo_sapiens	4.808111029984782	11.035454020876973	8.464846711044029
Gorilla_gorilla	4.096009841541162	11.848268492846586	7.947678571301568
Rhinopithecus_bieti	3.3843902633457743	9.42181611842271	NaN
Colobus_angolensis	3.547699840651157	9.144912566653728	7.346977483888435
Chlorocebus_sabaeus	3.427514689979529	8.634086942887738	6.9411900550683745
Macaca_mulatta	3.4975171526678324	8.982037701932406	7.228586347283211
Papio_anubis	3.624340932976365	9.798127036878302	7.322510433997394
Mandrillus_leucophaeus	3.676300671907076	9.934259211202882	7.115988217560592
Cercocebus_atys	3.6506582412937387	9.103497276358134	7.3901814282264295
Saimiri_boliviensis	3.4094961844768505	6.654367273754322	6.910750787961936
Cebus_capucinus	3.8529804647943626	7.847111283787288	7.419580403081211
Callithrix_jacchus	2.9418039315284354	5.741559838990231	6.1675164908883415
Aotus_nancymaae	3.367295829986474	6.850390961592566	6.710523109452428
Tupaia_belangeri	2.470215934377997	5.100475998096045	4.499809670330265
Oryctolagus_cuniculus	2.1972245773362196	7.495541943884256	6.593044534142437
Ochotona_princeps	2.1041341542702074	5.029620594007336	5.512083756049649
Marmota_marmota_marmota	2.731766727719526	8.424712338622072	6.764077345780387
Ictidomys_tridecemlineatus	2.066862759472976	5.1515559851526325	5.869296913133774
Heterocephalus_glaber	3.4339872044851463	3.5553480614894135	5.429345628954441
Octodon_degus	2.6390573296152584	5.459585514144159	5.204006687076795
Chinchilla_lanigera	2.8449093838194073	6.465366816769375	5.480638923341991
Cavia_porcellus	2.0918640616783932	6.343587479678652	4.209655408733095
Jaculus_jaculus	1.8562979903656263	4.548599834499697	5.7899601708972535
Rattus_norvegicus	1.4872702784598928	5.227089857259669	4.516338972281476
Mus_musculus	1.3694872428035094	2.5273273656719524	3.9318256327243257
Meriones_unguiculatus	1.8082887711792657	4.570578741218473	4.307437777682809
Peromyscus_maniculatus	1.8983692042863132	3.248434627109745	4.152164133110927
Microtus_ochrogaster	1.50851199384414	3.6619286118229546	3.993602992420569
Mesocricetus_auratus	1.423108334242607	4.93806460126142	3.7954891891721947
Cricetulus_griseus	1.667706820558076	NaN	NaN
Dipodomys_ordii	2.286455711064162	4.310799125385514	4.426840650463674
Castor_canadensis	3.152736022363656	10.026810768568128	6.459904454377535
