TaxonName	maturity	mass	longevity	piS	piNpiS	generation_time
Cynocephalus_volans	NaN	7.170119543449628	NaN	NaN	NaN	NaN
Callimico_goeldii	5.8998973535824915	6.318968113746434	3.100092288878234	NaN	NaN	7.866729950879673
Callithrix_jacchus	6.1675164908883415	5.542047551470635	2.803360380906535	-6.495446972391978	-1.6252573830418657	7.642617655039551
Leontopithecus_rosalia	6.304448802421981	6.483871585349955	3.4531571205928664	NaN	NaN	8.22502908966059
Saguinus_fuscicollis	6.302618975744905	6.1235887000350235	3.214867803470662	NaN	NaN	8.014112498097694
Alouatta_palliata	6.9985096422506015	8.85366542803745	3.1780538303479458	NaN	NaN	8.10707226177188
Aotus_azarai	NaN	7.114769448366463	3.4011973816621555	NaN	NaN	NaN
Ateles_belzebuth	7.2868764117507	8.927314111060596	3.6109179126442243	NaN	NaN	8.50790216317533
Brachyteles_arachnoides	7.914983005848394	9.320986892063246	NaN	NaN	NaN	NaN
Cebus_apella	7.440146680662688	7.879480717744393	3.828641396489095	NaN	NaN	8.712468814155967
Saimiri_oerstedii	NaN	6.670132406403093	NaN	NaN	NaN	NaN
Allenopithecus_nigroviridis	NaN	8.455849561175185	3.295836866004329	NaN	NaN	NaN
Cercocebus_torquatus	6.880384082186005	9.158257292105958	3.828641396489095	NaN	NaN	8.623340797237317
Chlorocebus_aethiops	6.9411900550683745	8.634086942887738	3.427514689979529	-5.657398059123677	-1.7280300253052003	8.29262863094658
Colobus_angolensis	NaN	9.062420241899561	3.563882963939251	NaN	NaN	NaN
Erythrocebus_patas	6.862757913051401	8.955448122347393	3.342861804649192	NaN	NaN	8.209121999715489
Macaca_mulatta	7.115582126184454	9.016148642611741	3.6888794541139363	-5.531857273169535	-1.8467564559296157	8.538565174863905
Mandrillus_sphinx	7.078341579557671	10.043249494911286	3.6888794541139363	NaN	NaN	8.532290649095389
Nasalis_larvatus	7.286191714702382	9.589974720049826	3.2228678461377385	NaN	NaN	8.214312198330115
Presbytis_melalophos	NaN	8.785692444451245	2.995732273553991	NaN	NaN	NaN
Semnopithecus_entellus	7.057897937411856	9.511666440343202	3.367295829986474	NaN	NaN	8.267364230710433
Trachypithecus_francoisi	7.286191714702382	8.899048433885268	3.269568939183719	NaN	NaN	8.248124804455239
Cheirogaleus_medius	5.8998973535824915	5.940171252720432	3.1441522786722644	NaN	NaN	7.90649934908537
Microcebus_murinus	5.493061443340548	4.1713056033582285	2.9014215940827497	NaN	NaN	7.649216319820633
Daubentonia_madagascariensis	6.782192056006791	7.730833629134113	3.1484533605716547	NaN	NaN	8.036743188308341
Galago_senegalensis	5.480638923341991	5.258536496536192	2.8390784635086144	-5.539260901787959	-1.8402482788093424	7.591071796528433
Otolemur_crassicaudatus	6.20455776256869	6.9980529169629175	3.122364924487357	NaN	NaN	7.920898636842289
Gorilla_gorilla	7.947678571301568	11.848268492846586	4.014579593753238	NaN	NaN	8.97115381711519
Homo_sapiens	8.464846711044029	11.035454020876973	4.808111029984782	-6.332193028702741	-1.4362159651260396	9.701100523905394
Pan_paniscus	8.069029328774958	10.594757973083214	4.007333185232471	-5.460706892654086	-1.6306104776669015	8.998320967274283
Pongo_pygmaeus	7.845807502637805	11.074032830749546	4.07753744390572	NaN	NaN	8.994569574991386
Hylobates_agilis	NaN	8.686935966003333	3.8918202981106265	NaN	NaN	NaN
Propithecus_verreauxi	6.815639990074331	8.517193191416238	3.417726683613366	-4.7675338334251025	-2.1547342153153153	8.262544783023499
Hapalemur_griseus	6.779921907472252	7.206006302783152	3.1484533605716547	NaN	NaN	8.036283911144293
Lemur_catta	6.38856140554563	7.845807502637805	3.6189933266497696	NaN	NaN	8.382668162441439
Varecia_variegata	6.403574197934815	8.207946941048617	3.58351893845611	-5.051858931764323	-2.075816121464796	8.352186464031572
Arctocebus_calabarensis	5.631211781821365	5.551019720103791	2.5649493574615367	NaN	NaN	7.361464370384079
Loris_tardigradus	5.940171252720432	5.473110656921199	2.9601050959108397	NaN	NaN	7.74617311410617
Nycticebus_coucang	6.359573868672378	6.791783102729716	3.250374491927572	-5.891257286690957	-1.679361574114731	8.052395189351868
Perodicticus_potto	6.304448802421981	7.110696122978827	3.288401887516811	NaN	NaN	8.078734739776147
Cacajao_calvus	7.093404625868766	8.059908334578276	3.5779478934066544	NaN	NaN	8.44338948066263
Callicebus_donacophilus	NaN	6.678342114654332	3.2188758248682006	NaN	NaN	NaN
Pithecia_pithecia	6.652863029353347	7.299797366758161	3.58351893845611	NaN	NaN	8.380422271470433
Tarsius_syrichta	NaN	4.7808027546312495	2.772588722239781	NaN	NaN	NaN
Tupaia_minor	NaN	4.070734696582967	2.501435951739211	NaN	NaN	NaN
Chiropotes_chiropotes	NaN	NaN	NaN	NaN	NaN	NaN
Lagothrix_cana	NaN	NaN	NaN	NaN	NaN	NaN
Nomascus_siki	NaN	NaN	NaN	NaN	NaN	NaN
Symphalangus_syndactylus	NaN	NaN	NaN	NaN	NaN	NaN
Lophocebus_aterrimus	NaN	NaN	NaN	NaN	NaN	NaN
Papio_papio	NaN	NaN	NaN	NaN	NaN	NaN
Cercopithecus_albogularis	NaN	NaN	NaN	NaN	NaN	NaN
Miopithecus_ogouensis	NaN	NaN	NaN	NaN	NaN	NaN
Piliocolobus_badius	NaN	NaN	NaN	NaN	NaN	NaN
Rhinopithecus_brelichi	NaN	NaN	NaN	NaN	NaN	NaN
Pygathrix_cinerea	NaN	NaN	NaN	NaN	NaN	NaN
Eulemur_rufus	NaN	NaN	NaN	-5.821164965541353	-1.8373239415399156	NaN
Avahi_laniger	NaN	NaN	NaN	NaN	NaN	NaN
Lepilemur_dorsalis	NaN	NaN	NaN	NaN	NaN	NaN
Mirza_coquereli	NaN	NaN	NaN	NaN	NaN	NaN
Galeopterus_variegatus	NaN	NaN	NaN	NaN	NaN	NaN
