TaxonName	maturity	mass	longevity	piS	piNpiS	generation_time
Cynocephalus_volans	NaN	1300	NaN	NaN	NaN	NaN
Callimico_goeldii	365	555	22.2	NaN	NaN	2609.02
Callithrix_jacchus	477	255.2	16.5	0.0015103	0.196861	2085.195
Leontopithecus_rosalia	547	654.5	31.6	NaN	NaN	3733.23
Saguinus_fuscicollis	546	456.5	24.9	NaN	NaN	3023.325
Alouatta_palliata	1095	7000	24	NaN	NaN	3317.85
Aotus_azarai	NaN	1230	30	NaN	NaN	NaN
Ateles_belzebuth	1461	7535	37	NaN	NaN	4953.76
Brachyteles_arachnoides	2738	11170	NaN	NaN	NaN	NaN
Cebus_apella	1703	2642.5	46	NaN	NaN	6078.23
Saimiri_oerstedii	NaN	788.5	NaN	NaN	NaN	NaN
Allenopithecus_nigroviridis	NaN	4702.5	27	NaN	NaN	NaN
Cercocebus_torquatus	973	9492.5	46	NaN	NaN	5559.93
Chlorocebus_aethiops	1034	5620	30.8	0.00349159	0.177634	3994.32
Colobus_angolensis	NaN	8625	35.3	NaN	NaN	NaN
Erythrocebus_patas	956	7750	28.3	NaN	NaN	3674.315
Macaca_mulatta	1231	8235	40	0.00395863	0.157748	5108.01
Mandrillus_sphinx	1186	23000	40	NaN	NaN	5076.06
Nasalis_larvatus	1460	14617.5	25.1	NaN	NaN	3693.435
Presbytis_melalophos	NaN	6540	20	NaN	NaN	NaN
Semnopithecus_entellus	1162	13516.5	29	NaN	NaN	3894.67
Trachypithecus_francoisi	1460	7325	26.3	NaN	NaN	3820.455
Cheirogaleus_medius	365	380	23.2	NaN	NaN	2714.87
Microcebus_murinus	243	64.8	18.2	NaN	NaN	2099.0
Daubentonia_madagascariensis	882	2277.5	23.3	NaN	NaN	3092.525
Galago_senegalensis	240	192.2	17.1	0.00392943	0.158778	1980.435
Otolemur_crassicaudatus	495	1094.5	22.7	NaN	NaN	2754.245
Gorilla_gorilla	2829	139842	55.4	NaN	NaN	7872.68
Homo_sapiens	4745	62035	122.5	0.00177813	0.237826	16335.575
Pan_paniscus	3194	39925	55	0.00425055	0.19581	8089.49
Pongo_pygmaeus	2555	64475	59	NaN	NaN	8059.2
Hylobates_agilis	NaN	5925	49	NaN	NaN	NaN
Propithecus_verreauxi	912	5000	30.5	0.00850132	0.115934	3875.945
Hapalemur_griseus	880	1347.5	23.3	NaN	NaN	3091.105
Lemur_catta	595	2555	37.3	NaN	NaN	4370.655
Varecia_variegata	604	3670	36	0.00639743	0.125454	4239.44
Arctocebus_calabarensis	279	257.5	13	NaN	NaN	1574.14
Loris_tardigradus	380	238.2	19.3	NaN	NaN	2312.705
Nycticebus_coucang	578	890.5	25.8	0.0027635	0.186493	3141.31
Perodicticus_potto	547	1225	26.8	NaN	NaN	3225.15
Cacajao_calvus	1204	3165	35.8	NaN	NaN	4644.27
Callicebus_donacophilus	NaN	795	25	NaN	NaN	NaN
Pithecia_pithecia	775	1480	36	NaN	NaN	4360.85
Tarsius_syrichta	NaN	119.2	16	NaN	NaN	NaN
Tupaia_minor	NaN	58.6	12.2	NaN	NaN	NaN
Chiropotes_chiropotes	NaN	NaN	NaN	NaN	NaN	NaN
Lagothrix_cana	NaN	NaN	NaN	NaN	NaN	NaN
Nomascus_siki	NaN	NaN	NaN	NaN	NaN	NaN
Symphalangus_syndactylus	NaN	NaN	NaN	NaN	NaN	NaN
Lophocebus_aterrimus	NaN	NaN	NaN	NaN	NaN	NaN
Papio_papio	NaN	NaN	NaN	NaN	NaN	NaN
Cercopithecus_albogularis	NaN	NaN	NaN	NaN	NaN	NaN
Miopithecus_ogouensis	NaN	NaN	NaN	NaN	NaN	NaN
Piliocolobus_badius	NaN	NaN	NaN	NaN	NaN	NaN
Rhinopithecus_brelichi	NaN	NaN	NaN	NaN	NaN	NaN
Pygathrix_cinerea	NaN	NaN	NaN	NaN	NaN	NaN
Eulemur_rufus	NaN	NaN	NaN	0.00296415	0.159243	NaN
Avahi_laniger	NaN	NaN	NaN	NaN	NaN	NaN
Lepilemur_dorsalis	NaN	NaN	NaN	NaN	NaN	NaN
Mirza_coquereli	NaN	NaN	NaN	NaN	NaN	NaN
Galeopterus_variegatus	NaN	NaN	NaN	NaN	NaN	NaN
