NodeName	Age	LowerBound	UpperBound
Root	82.10220707000002	82.10220707000002	82.10220707000002
PerodicArctoce	20.38808	20.38808	20.38808
Loris_tNyctice	26.22081462	26.22081462	26.22081462
PeroArctLoriNyct	37.269589999999994	37.269589999999994	37.269589999999994
OtolemuGalago_	18.6	18.6	18.6
PerArcLorNycOtoGal	37.78748761999999	37.78748761999999	37.78748761999999
Avahi_lPropith	25.328995	25.328995	25.328995
MicroceMirza_c	18.44713286	18.44713286	18.44713286
CheirMicroMirza	35.3	35.3	35.3
AvaProCheMicMir	37.78263867	37.78263867	37.78263867
HapalemLemur_c	13.74576625	13.74576625	13.74576625
HapalLemurEulem	19.5138425	19.5138425	19.5138425
VareHapaLemuEule	25.45756231	25.45756231	25.45756231
AvPrChMiMiVaHaLeEu	38.363986319999995	38.363986319999995	38.363986319999995
DaAvPrChMiMiVaHaLeEu	54.69862454999999	54.69862454999999	54.69862454999999
PALNOGDAPCMMVHLE	59.32436912	59.32436912	59.32436912
CacajaoChiropo	7.31	7.31	7.31
PitheCacajChiro	11.33054769	11.33054769	11.33054769
PithCacaChirPlec	17.99321625	17.99321625	17.99321625
CallimiCallith	10.903631	10.903631	10.903631
CalliCalliLeont	12.45653417	12.45653417	12.45653417
SaguCallCallLeon	13.90999714	13.90999714	13.90999714
SagCalCalLeoAot	18.383856469999998	18.383856469999998	18.383856469999998
SaimiriSapajus	16.07046167	16.07046167	16.07046167
SaCaCaLeAoSaSa	19.68105652	19.68105652	19.68105652
LagothrBrachyt	9.78613333	9.78613333	9.78613333
AteleLagotBrach	12.13153461	12.13153461	12.13153461
AlouAtelLagoBrac	14.89033571	14.89033571	14.89033571
SaCaCaLeAoSaSaAlAtLaBr	20.663596399999996	20.663596399999996	20.663596399999996
PCCPSCCLASSAALB	21.87953444	21.87953444	21.87953444
MandrilCercoce	4.59037182	4.59037182	4.59037182
MandrCercoMacac	12.399999999999999	12.399999999999999	12.399999999999999
ErythroChloroc	5.885665	5.885665	5.885665
CercopiMiopith	11.3	11.3	11.3
ErytChloCercMiop	12.35748333	12.35748333	12.35748333
EryChlCerMioAll	12.947635550000001	12.947635550000001	12.947635550000001
MaCeMaErChCeMiAl	13.74957083	13.74957083	13.74957083
RhinopiPygathr	7.16131727	7.16131727	7.16131727
RhinoPygatNasal	7.736631429999999	7.736631429999999	7.736631429999999
RhinPygaNasaSemn	9.975059289999999	9.975059289999999	9.975059289999999
PresbytTrachyp	8.82306846	8.82306846	8.82306846
RhiPygNasSemPreTra	10.11300812	10.11300812	10.11300812
PiliocoColobus	12.8	12.8	12.8
RhPyNaSePrTrPiCo	14.02269761	14.02269761	14.02269761
MCMECCMARPNSPTPC	19.42230477	19.42230477	19.42230477
HylobatSymphal	8.12900213	8.12900213	8.12900213
HylobSymphNomas	10.27564143	10.27564143	10.27564143
Pan_panHomo_sa	6.650905	6.650905	6.650905
GorilPan_pHomo_	9.06309552	9.06309552	9.06309552
GoriPan_HomoPong	15.762165539999998	15.762165539999998	15.762165539999998
HySyNoGoPaHoPo	20.18921354	20.18921354	20.18921354
MCMECCMARPNSPTPCHSNGPHP	29.441546800000005	29.441546800000005	29.441546800000005
PCCPSCCLASSAALBMCMECCMARPNSPTPCHSNGPHP	43.15129633	43.15129633	43.15129633
PCCPSCCLASSAALBMCMECCMARPNSPTPCHSNGPHPC	67.06105238	67.06105238	67.06105238
PALNOGDAPCMMVHLEPCCPSCCLASSAALBMCMECCMARPNSPTPCHSNGPHPC	73.83689433000002	73.83689433000002	73.83689433000002
CynocepGaleopt	18.62596667	18.62596667	18.62596667
PALNOGDAPCMMVHLEPCCPSCCLASSAALBMCMECCMARPNSPTPCHSNGPHPCCG	75.69842443000002	75.69842443000002	75.69842443000002
