TaxonName	maturity	mass	longevity	generation_time
Callimico_goeldii	365.0	555.0	22.2	2609.02
Callithrix_jacchus	477.0	255.2	16.5	2085.195
Leontopithecus_rosalia	547.0	654.5	31.6	3733.23
Saguinus_fuscicollis	546.0	456.5	24.9	3023.325
Alouatta_palliata	1095.0	7000.0	24.0	3317.85
Ateles_belzebuth	1461.0	7535.0	37.0	4953.76
Sapajus_apella	1703.0	2642.5	46.0	6078.23
Cercocebus_torquatus	973.0	9492.5	46.0	5559.93
Chlorocebus_aethiops	1034.0	5620.0	30.8	3994.32
Erythrocebus_patas	956.0	7750.0	28.3	3674.315
Macaca_mulatta	1231.0	8235.0	40.0	5108.01
Mandrillus_sphinx	1186.0	23000.0	40.0	5076.06
Nasalis_larvatus	1460.0	14617.5	25.1	3693.435
Semnopithecus_entellus	1162.0	13516.5	29.0	3894.67
Trachypithecus_francoisi	1460.0	7325.0	26.3	3820.455
Cheirogaleus_medius	365.0	380.0	23.2	2714.87
Microcebus_murinus	243.0	64.8	18.2	2099.0
Daubentonia_madagascariensis	882.0	2277.5	23.3	3092.525
Galago_senegalensis	240.0	192.2	17.1	1980.435
Otolemur_crassicaudatus	495.0	1094.5	22.7	2754.245
Gorilla_gorilla	2829.0	139842.0	55.4	7872.68
Homo_sapiens	4745.0	62035.0	122.5	16335.575
Pan_paniscus	3194.0	39925.0	55.0	8089.49
Pongo_pygmaeus	2555.0	64475.0	59.0	8059.2
Propithecus_verreauxi	912.0	5000.0	30.5	3875.945
Hapalemur_griseus	880.0	1347.5	23.3	3091.105
Lemur_catta	595.0	2555.0	37.3	4370.655
Varecia_variegata	604.0	3670.0	36.0	4239.44
Arctocebus_calabarensis	279.0	257.5	13.0	1574.14
Loris_tardigradus	380.0	238.2	19.3	2312.705
Nycticebus_coucang	578.0	890.5	25.8	3141.31
Perodicticus_potto	547.0	1225.0	26.8	3225.15
Cacajao_calvus	1204.0	3165.0	35.8	4644.27
Pithecia_pithecia	775.0	1480.0	36.0	4360.85
