NodeName	Age	LowerBound	UpperBound
Root	73.83678799999998	73.83678799999998	73.83678799999998
PerodicArctoce	20.3881	20.3881	20.3881
Loris_tNyctice	26.2208	26.2208	26.2208
PeroArctLoriNyct	37.2696	37.2696	37.2696
OtolemuGalago_	18.6	18.6	18.6
PerArcLorNycOtoGal	37.787498	37.787498	37.787498
CheirogMicroce	35.3	35.3	35.3
CheirMicroPropi	37.7826	37.7826	37.7826
HapalemLemur_c	13.7458	13.7458	13.7458
VarecHapalLemur	25.4576	25.4576	25.4576
CheMicProVarHapLem	38.363948	38.363948	38.363948
DaChMiPrVaHaLe	54.698548	54.698548	54.698548
PALNOGDCMPVHL	59.32428799999999	59.32428799999999	59.32428799999999
CallimiCallith	10.9036	10.9036	10.9036
CalliCalliLeont	12.4565	12.4565	12.4565
SaguCallCallLeon	13.90996	13.90996	13.90996
SagCalCalLeoSap	19.68102	19.68102	19.68102
AlouattAteles_	14.8903	14.8903	14.8903
SaCaCaLeSaAlAt	20.66356	20.66356	20.66356
PitheciCacajao	11.3305	11.3305	11.3305
SaCaCaLeSaAlAtPiCa	21.8795	21.8795	21.8795
MandrilCercoce	4.59037	4.59037	4.59037
MandrCercoMacac	12.4	12.4	12.4
ErythroChloroc	5.88567	5.88567	5.88567
ManCerMacEryChl	13.74957	13.74957	13.74957
SemnopiNasalis	9.97506	9.97506	9.97506
SemnoNasalTrach	10.113	10.113	10.113
MaCeMaErChSeNaTr	19.4223	19.4223	19.4223
Pan_panHomo_sa	6.6509	6.6509	6.6509
GorilPan_pHomo_	9.063089999999999	9.063089999999999	9.063089999999999
GoriPan_HomoPong	15.76216	15.76216	15.76216
MaCeMaErChSeNaTrGoPaHoPo	29.441499999999998	29.441499999999998	29.441499999999998
SCCLSAAPCMCMECSNTGPHP	43.1512	43.1512	43.1512
