gene	nsite	pp_m2a	pp_siteom	pp_mutsel	pp_mutselfix	npos_m2a	npos_siteom	posw_m2a	posfrac_siteom	om_m2a	totom_siteom	purom_mutselfix	diffom_mutselfix	diffom_mutsel
ENSG00000105374	166	1.0	1.0	1.0	1.0	5	10	0.054436876633986934	0.060240963855421686	2.2154262908496736	0.5356025259259259	0.3682866687898089	0.16731585713611702	0.3407480527207673
ENSG00000077984	139	1.0	1.0	1.0	1.0	5	8	0.04375277075163399	0.05755395683453238	2.87085295751634	0.4189880207407408	0.17769366242038215	0.24129435832035864	0.47790709562782735
ENSG00000102904	685	1.0	1.0	1.0	1.0	4	6	0.017111589019607843	0.008759124087591242	2.204173594771242	0.34116758666666663	0.2926555668789809	0.04851201978768571	0.14748187378083488
ENSG00000023171	885	1.0	1.0	1.0	0.86	3	4	0.006156013643790849	0.004519774011299435	2.3067348366013074	0.05192074562962962	0.04856828789808917	0.003352457731540449	0.013739630218405883
ENSG00000095627	1183	1.0	1.0	0.13829787234042554	0.0	2	7	0.008049981972222224	0.005917159763313609	2.071407761437908	0.32792701185185186	0.3863955477707006	-0.05846853591884876	-0.012525755697946306
ENSG00000070388	171	1.0	1.0	1.0	1.0	6	7	0.045834938088235286	0.04093567251461988	2.5327797549019606	0.3343497718518519	0.15263062420382165	0.18171914764803024	0.5740677276487329
ENSG00000140264	134	0.238562091503268	0.88	0.010638297872340424	0.09	0	0	0.0018645742598039211	0.0	1.2928828594771242	0.19721456592592596	0.2589607197452229	-0.061746153819297024	-0.11977596806188373
ENSG00000156510	918	0.31209150326797386	1.0	0.3882978723404255	0.03	0	2	0.0010199038771241831	0.002178649237472767	1.3799391176470588	0.10473440874074076	0.11359799363057325	-0.00886358488983248	-0.0016753879241675595
ENSG00000196860	152	0.40522875816993453	0.9978947368421052	0.7127659574468085	0.21	0	0	0.004078445786928104	0.0	1.5174483496732027	0.4073754148148149	0.4416819872611464	-0.03430657244633145	0.03356055267654633
ENSG00000107020	147	0.9395424836601308	1.0	1.0	0.7	0	1	0.01414525166176471	0.006802721088435374	2.194690588235294	0.25696149185185185	0.2460291210191083	0.010932370832743564	0.09033211750665268
ENSG00000070718	418	0.06699346405228758	0.29473684210526313	1.0	0.0	0	0	0.00013479659885620916	0.0	1.0823628431372547	0.019109992740740742	0.027208763057324843	-0.008098770316584101	0.10740753579184903
ENSG00000143061	1178	0.04248366013071896	0.9642105263157896	0.010638297872340424	0.0	0	0	3.7281175375816995e-05	0.0	1.0530736437908497	0.07369461659259259	0.09193753503184714	-0.018242918439254543	-0.009784143099157223
ENSG00000134548	118	0.17647058823529413	0.7157894736842105	0.0	0.0	0	0	0.0010479902524836602	0.0	1.2268437418300653	0.31912407703703705	0.4213546751592357	-0.10223059812219863	-0.12032109299045221
ENSG00000175764	719	1.0	1.0	1.0	0.99	3	7	0.014069703807189544	0.009735744089012517	2.3900640359477117	0.2453816088888889	0.22641640127388535	0.018965207615003504	0.040718460649732384
ENSG00000183617	138	0.27124183006535946	1.0	0.9893617021276596	0.82	0	0	0.0020891659944444444	0.0	1.3340296241830063	0.28254169777777777	0.2667575668789809	0.015784130898796878	0.055831471920753176
ENSG00000183309	503	0.06699346405228758	0.9936842105263158	0.0	0.0	0	0	0.00012106346732026143	0.0	1.0837627450980392	0.1558902074074074	0.22095366878980896	-0.06506346138240157	-0.07658480520236742
ENSG00000158104	394	0.9967320261437908	1.0	0.9734042553191491	0.42	1	1	0.004833897686764706	0.0025380710659898475	2.305838660130719	0.11881080444444445	0.1179596433121019	0.0008511611323425428	0.0159308539038222
ENSG00000178645	93	0.2369281045751634	0.9263157894736842	0.9574468085106383	0.05	0	0	0.0019496534042483657	0.0	1.2880260620915034	0.2309191896296296	0.2675915159235669	-0.03667232629393727	0.05873277223060911
ENSG00000125657	219	0.965686274509804	1.0	0.8404255319148937	0.98	0	3	0.02302906713071896	0.0136986301369863	2.2118621241830065	0.5290595748148149	0.4711385987261147	0.05792097608870023	0.03204755168719214
ENSG00000101198	208	1.0	1.0	1.0	1.0	2	3	0.01594524933006536	0.014423076923076924	2.425682712418301	0.3031290503703704	0.2331510191082803	0.06997803126209008	0.423186275966713
ENSG00000067334	797	1.0	1.0	1.0	1.0	60	93	0.10765939411764708	0.11668757841907151	2.4764136274509805	0.6721657585185185	0.3183048789808917	0.35386087953762674	0.4858364573749613
ENSG00000163006	669	1.0	1.0	0.0	0.0	2	6	0.012622535065359477	0.008968609865470852	2.2139048856209147	0.2952981333333334	0.33965045859872617	-0.04435232526539279	-0.03835805959826927
ENSG00000236279	177	0.15849673202614378	0.1263157894736842	0.0	0.01	0	0	0.0006890535816993464	0.0	1.1988045424836602	0.0376026717037037	0.05384805414012739	-0.01624538243642369	-0.03071397170073529
ENSG00000167525	390	1.0	1.0	1.0	0.68	4	6	0.017709099444444446	0.015384615384615385	2.524166781045752	0.459556488888889	0.4478394585987262	0.011717030290162744	0.13361537988270092
ENSG00000110675	334	0.1503267973856209	0.5915789473684211	0.010638297872340424	0.0	0	0	0.00046073687352941173	0.0	1.1891347222222222	0.06013908103703704	0.08987539044585988	-0.02973630940882284	-0.02740973285940848
ENSG00000131482	357	0.1176470588235294	1.0	0.6010638297872339	0.12	0	0	0.0003249038278267974	0.0	1.1456564705882353	0.17330887555555555	0.1835145796178344	-0.010205704062278831	0.0030836550259427655
ENSG00000161849	609	0.9934640522875816	1.0	1.0	0.53	1	2	0.007713989961601308	0.003284072249589491	2.2632882352941177	0.2789408977777777	0.2780814777070064	0.0008594200707713884	0.06873620924275374
ENSG00000233608	160	0.16993464052287582	0.016842105263157894	0.0	0.01	0	0	0.0008977173088235293	0.0	1.218826454248366	0.032492187407407405	0.05150883694267517	-0.019016649535267764	-0.042314113533126176
ENSG00000196712	2841	0.011437908496732024	0.3621052631578948	0.0	0.0	0	0	2.2465584967320262e-06	0.0	1.0132886764705882	0.02758292888888889	0.04249247388535032	-0.014909544996461431	-0.02118764727997257
ENSG00000156026	352	0.8349673202614379	0.991578947368421	0.0	0.0	0	1	0.004156829538071895	0.002840909090909091	2.131650816993464	0.06630964592592592	0.08581932802547773	-0.019509682099551784	-0.03440108482433509
ENSG00000133884	405	0.08660130718954248	0.1136842105263158	0.010638297872340424	0.0	0	0	0.0002168868047385621	0.0	1.1110047549019606	0.01892166933333333	0.031691720382165604	-0.012770051048832273	-0.014081845428403583
ENSG00000225697	760	1.0	1.0	1.0	1.0	3	7	0.016309107467320266	0.009210526315789473	2.1762413398692813	0.2822959733333333	0.23159001273885355	0.050705960594479786	0.09576015436738854
ENSG00000141510	394	0.9166666666666666	1.0	0.7180851063829787	0.03	0	1	0.0068518935098039226	0.0025380710659898475	2.139747761437909	0.2522078488888889	0.2737434585987261	-0.021535609709837256	0.008688618832005812
ENSG00000179761	393	1.0	1.0	1.0	0.98	4	7	0.028571875147058824	0.017811704834605598	2.092707467320261	0.324240002962963	0.2968385031847133	0.027401499778249683	0.10551374066357569
ENSG00000162384	160	0.15522875816993464	0.1936842105263158	0.05319148936170213	0.0	0	0	0.00072139852124183	0.0	1.203107549019608	0.08680975955555556	0.12132070254777068	-0.03451094299221513	-0.035621284456650616
ENSG00000103316	314	0.238562091503268	0.9978947368421052	0.1595744680851064	0.0	0	1	0.0010837933997058823	0.0031847133757961785	1.2896189869281045	0.11569808385185187	0.1432255414012739	-0.027527457549422013	-0.010544480719949817
ENSG00000068878	1844	1.0	1.0	1.0	1.0	9	17	0.009157742009803922	0.009219088937093275	2.1778829248366014	0.07400818785185186	0.05777132547770701	0.01623686237414485	0.3599918801488298
ENSG00000197329	418	0.1045751633986928	0.0	0.0	0.0	0	0	0.0001734403230718954	0.0	1.1363778758169931	0.01060762645925926	0.024955128662420382	-0.014347502203161118	-0.02284022560452356
ENSG00000174963	333	0.09640522875816994	0.9978947368421052	0.0	0.0	0	0	0.0002086819066993464	0.0	1.1221453921568627	0.16472724888888887	0.21455813375796176	-0.04983088486907289	-0.05682948105820361
ENSG00000073756	604	1.0	1.0	1.0	1.0	7	10	0.01259737289215686	0.016556291390728478	2.994631209150327	0.17712176	0.08906002611464969	0.0880617338853503	0.4773506548436123
ENSG00000125388	577	1.0	1.0	1.0	1.0	5	10	0.02303940982026144	0.01733102253032929	2.203452107843137	0.3289809748148148	0.283848152866242	0.04513282194857282	0.17317562217894023
ENSG00000023330	642	1.0	1.0	1.0	1.0	2	2	0.0063244591323529395	0.003115264797507788	2.5005520424836605	0.1113992696296296	0.08844798025477707	0.022951289374852524	0.07367259930814272
ENSG00000184497	323	0.09967320261437908	1.0	0.0	0.0	0	0	0.00027596303709150326	0.0	1.1285641666666668	0.2183710251851852	0.26250301273885346	-0.04413198755366829	-0.04247530949577509
ENSG00000164535	672	0.07679738562091504	1.0	0.0	0.0	0	0	0.00016113539346405227	0.0	1.092959526143791	0.15477767703703704	0.2020324585987261	-0.04725478156168905	-0.028638221366131995
ENSG00000114867	1623	0.052287581699346414	1.0	0.12234042553191488	0.0	0	1	5.5985275980392165e-05	0.0006161429451632779	1.0626311764705882	0.1472403422222222	0.17586592356687894	-0.028625581344656762	-0.006925312884752339
ENSG00000150676	414	1.0	1.0	1.0	1.0	5	14	0.04592191699346405	0.033816425120772944	2.1032075163398694	0.4637824281481481	0.4075726369426751	0.056209791205473036	0.1904578260674887
ENSG00000264364	89	0.238562091503268	0.0	0.0	0.0	0	0	0.0016295508323529411	0.0	1.3024653758169933	0.03752358325925926	0.09074626878980893	-0.053222685530549665	-0.0855494535113074
ENSG00000107643	403	1.0	1.0	0.5319148936170213	0.54	1	1	0.004301731449673203	0.0024813895781637717	3.2346081862745097	0.03327553051851852	0.03370098343949045	-0.00042545292097193044	0.0011172026589053262
ENSG00000101935	340	0.13398692810457516	0.9515789473684212	0.0053191489361702135	0.0	0	0	0.00045754484915032676	0.0	1.1706022549019608	0.09389665229629628	0.1275993949044586	-0.033702742608162306	-0.04680688083685171
ENSG00000198445	522	0.06862745098039216	1.0	0.6010638297872339	0.0	0	0	0.00013678719542483658	0.0	1.0855005065359478	0.32111838962962963	0.3648010127388535	-0.04368262310922389	0.0044521188788562305
ENSG00000184371	555	1.0	1.0	1.0	1.0	10	25	0.0476770681372549	0.04504504504504504	2.206791323529412	0.5955484177777778	0.5191422292993629	0.07640618847841485	0.17759695503430667
ENSG00000149575	216	0.1568627450980392	0.9726315789473684	0.07446808510638298	0.32	0	0	0.0009448296513071896	0.0	1.1941718137254902	0.10636933066666666	0.1128796152866242	-0.006510284619957535	-0.01287775742993575
ENSG00000086200	975	0.03594771241830065	0.7852631578947369	0.0	0.0	0	0	2.6622728186274514e-05	0.0	1.046783431372549	0.05442717614814816	0.08005932165605095	-0.0256321455079028	-0.02839928560749238
ENSG00000166046	521	0.6209150326797386	1.0	0.0	0.0	0	1	0.002294878114379085	0.0019193857965451055	1.7909183986928106	0.20652003703703706	0.26757333757961776	-0.061053300542580735	-0.050864071801235526
ENSG00000108830	229	0.14052287581699344	0.7115789473684211	0.0053191489361702135	0.0	0	0	0.0005304784756535948	0.0	1.1776737745098038	0.045090784	0.0641995388535032	-0.0191087548535032	-0.029065780835906243
ENSG00000175087	341	0.08660130718954248	0.0	0.0	0.0	0	0	0.00021769888071895426	0.0	1.1109342156862745	0.016368562933333334	0.035786987898089165	-0.01941842496475583	-0.03289353892362181
ENSG00000182670	2012	1.0	1.0	1.0	0.01	2	14	0.011499546715686274	0.006958250497017893	2.26228681372549	0.3597151125925926	0.38032360509554136	-0.02060849250294877	0.03735471690317725
ENSG00000088325	754	0.1503267973856209	1.0	0.9734042553191491	0.01	0	1	0.0005270142080065358	0.001326259946949602	1.1799611601307192	0.2690215096296296	0.28949170700636945	-0.020470197376739833	0.024527700725698934
ENSG00000135916	272	0.10130718954248366	0.7073684210526315	0.0	0.01	0	0	0.00028368625294117653	0.0	1.1298601307189544	0.08940296874074072	0.11192728407643313	-0.022524315335692397	-0.049772886801591226
ENSG00000149084	312	1.0	1.0	1.0	1.0	9	11	0.03107748676470588	0.035256410256410256	2.9486591993464053	0.3806128651851852	0.2621447006369427	0.1184681645482425	0.38123182313002707
ENSG00000113504	1049	0.031045751633986932	0.9978947368421052	0.0	0.01	0	0	4.312948888888889e-05	0.0	1.0368727287581698	0.07449898059259259	0.08396794394904457	-0.00946896335645199	-0.011283674390554572
ENSG00000054116	180	0.12581699346405228	0.0042105263157894745	0.0	0.0	0	0	0.0004862802206862744	0.0	1.1596659150326798	0.01826160266666666	0.034708652866242036	-0.016447050199575382	-0.022523019014640704
ENSG00000137168	166	0.15359477124183007	0.0	0.0	0.0	0	0	0.0006345923718954247	0.0	1.1988726143790849	0.019306372888888892	0.047007569426751585	-0.027701196537862703	-0.041728787232155874
ENSG00000141198	477	0.24836601307189546	1.0	1.0	0.27	0	3	0.001730161488235294	0.006289308176100629	1.2751575326797386	0.3433072859259259	0.3522326369426752	-0.008925351016749294	0.04003685992210331
ENSG00000114982	906	0.2467320261437909	1.0	0.0	0.0	0	1	0.0006748387614379085	0.0011037527593818985	1.295158120915033	0.10973807081481482	0.14950030573248407	-0.03976223491766925	-0.042404323178183614
ENSG00000179262	342	0.10294117647058824	0.35157894736842105	0.0	0.0	0	0	0.0002913567336601307	0.0	1.1306967320261438	0.0669370722962963	0.1043470585987261	-0.03740998630242981	-0.06146142435275765
ENSG00000117009	467	0.12418300653594773	1.0	0.8085106382978723	0.01	0	0	0.0004324931094771242	0.0	1.1498439542483658	0.23596868592592596	0.2663133248407644	-0.030344638914838438	0.01632383815054204
ENSG00000136231	584	0.0784313725490196	0.9536842105263158	0.0	0.0	0	0	0.00021631231699346408	0.0	1.095205555555555	0.051937367555555565	0.0723843974522293	-0.02044702989667374	-0.03243117512373054
ENSG00000008118	478	1.0	1.0	1.0	1.0	4	6	0.015825092205882352	0.012552301255230125	2.321008823529412	0.13206834370370368	0.0901581458598726	0.041910197843831085	0.08494837658394404
ENSG00000133619	1101	1.0	1.0	0.04787234042553192	0.0	2	8	0.009389441715686274	0.007266121707538601	2.307523725490197	0.5011761807407408	0.5655330636942675	-0.0643568829535267	-0.027627631798413987
ENSG00000163131	332	0.9950980392156864	1.0	1.0	1.0	1	3	0.014018905254901959	0.009036144578313253	2.1117428267973857	0.27984650222222224	0.21461726751592355	0.06522923470629867	0.21040657946957012
ENSG00000135622	765	0.7303921568627451	1.0	0.0	0.0	0	2	0.003191162602941177	0.00261437908496732	1.9481818627450982	0.16373816444444442	0.2074408152866242	-0.04370265084217978	-0.05199719420516382
ENSG00000081052	1686	1.0	1.0	1.0	1.0	86	99	0.0645408388888889	0.05871886120996441	2.198148153594772	0.33724575407407403	0.21100572611464968	0.12624002795942435	0.19908602387014193
ENSG00000118997	4022	1.0	1.0	1.0	0.89	6	11	0.004287452009803921	0.0027349577324714074	2.2959301960784315	0.12975276000000002	0.12582368789808918	0.0039290721019108465	0.09118112709431264
ENSG00000213928	403	0.9575163398692812	1.0	1.0	0.83	0	6	0.016168841535947713	0.01488833746898263	2.0718789869281045	0.3647650251851852	0.3503229872611465	0.014442037924038698	0.05333315294643552
ENSG00000100092	712	1.0	1.0	0.2872340425531915	0.32	2	6	0.011587314035947713	0.008426966292134831	2.2691777941176468	0.22484687555555555	0.2292316815286624	-0.0043848059731068645	-0.005411738117052276
ENSG00000107859	304	0.12418300653594773	0.05473684210526316	0.0	0.0	0	0	0.00034460515800653597	0.0	1.1556842810457515	0.04016141288888889	0.07079297515923566	-0.030631562270346774	-0.040332407273914406
ENSG00000117153	568	0.04901960784313725	0.0	0.8936170212765957	0.0	0	0	6.583562401960782e-05	0.0	1.061604656862745	0.033338466666666663	0.06093144012738853	-0.02759297346072187	0.010968683065586127
ENSG00000143653	430	0.315359477124183	1.0	1.0	0.97	0	1	0.0018899905325163399	0.002325581395348837	1.3783177777777778	0.2525092488888889	0.22869412738853506	0.02381512150035389	0.17351286199923027
ENSG00000186446	271	0.4379084967320261	1.0	0.18085106382978725	0.35	0	1	0.0044290580338235295	0.0036900369003690036	1.5605785947712416	0.2251204355555556	0.2409756242038217	-0.0158551886482661	-0.02737562177104423
ENSG00000174776	978	1.0	1.0	0.9627659574468084	0.0	4	7	0.01764626183006536	0.007157464212678937	2.232221552287581	0.36999366222222224	0.4010629872611465	-0.03106932503892429	0.026651467495870416
ENSG00000171617	589	0.05718954248366012	0.0	0.0	0.0	0	0	8.032838316993463e-05	0.0	1.0706177777777777	0.0036374197629629626	0.010148859872611464	-0.006511440109648501	-0.009743023841484434
ENSG00000151882	127	1.0	1.0	0.9840425531914894	0.73	1	2	0.018865364714052285	0.015748031496062992	2.4405347385620915	0.4816931466666667	0.462692076433121	0.01900107023354564	0.09176496395266445
ENSG00000125207	862	0.04901960784313725	0.27157894736842103	0.0	0.0	0	0	5.8030330228758155e-05	0.0	1.0590516993464054	0.03623727022222222	0.0587611796178344	-0.022523909395612177	-0.02407995727370767
ENSG00000165661	645	0.24019607843137256	1.0	0.7712765957446809	0.0	0	0	0.0008327735173202616	0.0	1.31223454248366	0.21834213333333333	0.2457484713375796	-0.027406338004246245	0.008789282965133479
ENSG00000082482	427	0.08496732026143791	0.5831578947368421	1.0	0.01	0	0	0.00018098320194444444	0.0	1.1112308169934642	0.03377430755555556	0.042628180891719734	-0.008853873336164185	1.2840155448568285
ENSG00000054267	1317	1.0	1.0	1.0	1.0	15	18	0.013798890163398692	0.01366742596810934	2.4938226633986926	0.15032608	0.11477349681528662	0.03555258318471338	0.1275770786724089
ENSG00000176092	1632	1.0	1.0	0.8936170212765957	0.11	3	22	0.019164278398692808	0.013480392156862746	2.1729314215686277	0.412824362962963	0.42150680891719744	-0.008682445954234452	0.012434567450046997
ENSG00000006468	475	0.34477124183006536	0.9957894736842106	0.7074468085106383	0.3	0	1	0.0013560802669771242	0.002105263157894737	1.4045993954248366	0.046173068148148144	0.04760219044585988	-0.0014291222977117352	0.0052129895578400445
ENSG00000124532	443	0.4068627450980392	1.0	0.06914893617021277	0.01	0	1	0.002018874574346405	0.002257336343115124	1.5349359803921567	0.18492949185185184	0.21206265605095545	-0.027133164199103586	-0.02192710266878402
ENSG00000175707	398	0.1176470588235294	1.0	0.0	0.0	0	0	0.00035801913039215687	0.0	1.1504396241830066	0.13309513185185184	0.16404669426751592	-0.030951562415664075	-0.0361490494477852
ENSG00000135968	1690	0.8627450980392157	1.0	0.0	0.0	0	4	0.002905840214052288	0.002366863905325444	1.9995149019607843	0.3021158014814815	0.3774492802547771	-0.0753334787732956	-0.03166805283693495
